NAME,NETWORK,Zone,longitude,latitude
Totteridge & Whetstone,London Underground,4,-0.177599794,51.63009248
Northwick Park,London Underground,4,-0.316478653,51.57797585
Norwood Junction,London Overground,4,-0.073428759,51.39678711
Edmondton Green,London Overground,4,-0.059376907,51.62445425
Highams Park,London Overground,4,0.00150512,51.607873
Walthamstow Wood Street,London Overground,4,-0.000741221,51.58600285
Silver Street,London Overground,4,-0.065526104,51.61440848
Kenton,London Overground,4,-0.315564441,51.58134846
North Wembley,London Overground,4,-0.302663046,51.56226767
Manor Park,TfL Rail,4,0.047651015,51.55189321
Ilford,TfL Rail,4,0.07080065,51.55848898
Seven Kings,TfL Rail,4,0.098722803,51.5634541
Goodmayes,TfL Rail,4,0.112414564,51.56500163
Morden Road,Tramlink,4,-0.191339995,51.408346
Phipps Bridge,Tramlink,4,-0.180769806,51.40292944
Belgrave Walk,Tramlink,4,-0.176840028,51.40044481
Mitcham,Tramlink,4,-0.16947597,51.39700089
Mitcham Junction (Tramlink),Tramlink,4,-0.155733719,51.39213248
Beddington Lane,Tramlink,4,-0.141260885,51.38891199
Therapia Lane,Tramlink,4,-0.127515047,51.38515495
Ampere Way,Tramlink,4,-0.122172554,51.3818536
Arena,Tramlink,4,-0.056679487,51.39105665
Elmers End (Tramlink),Tramlink,4,-0.047979561,51.39779044
Harrington Road,Tramlink,4,-0.058885135,51.3991503
Birkbeck (Tramlink),Tramlink,4,-0.054580141,51.40304289
Avenue Road,Tramlink,4,-0.048118188,51.40615963
Beckenham Road,Tramlink,4,-0.04159356,51.40909636
Beckenham Junction (Tramlink),Tramlink,4,-0.024636241,51.41045194
WOOLWICH ARSENAL - DLR,DLR,4,0.070492592,51.48946942
Penge West,London Overground,4,-0.059203378,51.41696823
Anerley,London Overground,4,-0.06410424,51.411617
South Kenton,London Overground,4,-0.307068904,51.56990367
Wembley Central,London Overground,4,-0.295206549,51.55214998
Barking,London Overground,4,0.082703641,51.53890805
Richmond,London Overground,4,-0.30015416,51.46271961
Becontree,London Underground,5,0.128978641,51.53983401
Dagenham Heathway,London Underground,5,0.149158377,51.54110645
Buckhurst Hill,London Underground,5,0.048455336,51.62548342
Edgware,London Underground,5,-0.273183711,51.61311251
Cockfosters,London Underground,5,-0.147553187,51.65103526
Oakwood,London Underground,5,-0.129657109,51.64683948
Ruislip Gardens,London Underground,5,-0.409140537,51.56027575
South Ruislip,London Underground,5,-0.39728854,51.55635983
Northolt,London Underground,5,-0.367069735,51.54775741
Hounslow West,London Underground,5,-0.384218262,51.47310845
South Harrow,London Underground,5,-0.350509518,51.56404932
Harrow & Wealdstone,London Underground,5,-0.333300136,51.59154651
High Barnet,London Underground,5,-0.192561468,51.65002914
Eastcote,London Underground,5,-0.39578946,51.57601384
West Harrow,London Underground,5,-0.351706569,51.57906815
Rayners Lane,London Underground,5,-0.369864752,51.57469667
North Harrow,London Underground,5,-0.361021834,51.58444941
Pinner,London Underground,5,-0.379580851,51.59232907
Harrow-on-the-Hill,London Underground,5,-0.33516664,51.57891586
Stanmore,London Underground,5,-0.30167142,51.61921632
Canons Park,London Underground,5,-0.293102561,51.60721294
Dagenham East,London Underground,5,0.167617456,51.54364955
West Croydon,London Overground,5,-0.101229704,51.37780543
Bush Hill Park,London Overground,5,-0.067751096,51.64092455
Chingford,London Overground,5,0.011677573,51.63278212
Enfield Town,London Overground,5,-0.077733958,51.65163779
Southbury,London Overground,5,-0.049888718,51.64825562
Headstone Lane,London Overground,5,-0.355651952,51.60209779
Chadwell Heath,TfL Rail,5,0.130973337,51.56749975
Waddon Marsh,Tramlink,5,-0.116278811,51.37647839
Wandle Park,Tramlink,5,-0.111770014,51.37293871
Reeves Corner,Tramlink,5,-0.104688108,51.37426316
Centrale,Tramlink,5,-0.102295527,51.37525458
West Croydon (Tramlink),Tramlink,5,-0.100095218,51.37841469
Wellesley Road,Tramlink,5,-0.095978591,51.37499854
Church Street,Tramlink,5,-0.102795537,51.37319514
George Street,Tramlink,5,-0.097458992,51.37338118
East Croydon (Tramlink),Tramlink,5,-0.09106147,51.37431604
Lebanon Road,Tramlink,5,-0.08389645,51.37468254
Sandilands,Tramlink,5,-0.07612476,51.37441486
Lloyd Park,Tramlink,5,-0.079087981,51.36367068
Coombe Lane,Tramlink,5,-0.058520648,51.35927821
Addiscombe,Tramlink,5,-0.07162576,51.37934189
Blackhorse Lane,Tramlink,5,-0.06870387,51.3844061
Woodside,Tramlink,5,-0.063965962,51.38645328
Harrow & Wealdstone,London Overground,5,-0.333631214,51.59176883
Loughton,London Underground,6,0.056970973,51.6408144
Debden,London Underground,6,0.085403181,51.64489405
Theydon Bois,London Underground,6,0.104967288,51.67133739
Epping,London Underground,6,0.115641374,51.69306818
Elm Park,London Underground,6,0.200311564,51.54920911
Hornchurch,London Underground,6,0.220754707,51.55353835
Heathrow Terminals 1-2-3,London Underground,6,-0.450857772,51.47079421
Upminster Bridge,London Underground,6,0.237476635,51.55798569
West Ruislip,London Underground,6,-0.436073394,51.56913097
Upminster,London Underground,6,0.252767235,51.55857711
Hatton Cross,London Underground,6,-0.42189306,51.4661174
Northwood,London Underground,6,-0.422358538,51.61052039
Heathrow Terminal 5,London Underground,6,-0.486475608,51.47201647
Heathrow Terminal 4,London Underground,6,-0.444145672,51.45802947
Uxbridge,London Underground,6,-0.4760666,51.54596187
Hillingdon,London Underground,6,-0.447812239,51.55344939
Ickenham,London Underground,6,-0.440467266,51.56146986
Ruislip,London Underground,6,-0.420215108,51.57079343
Ruislip Manor,London Underground,6,-0.410235646,51.57297789
Northwood Hills,London Underground,6,-0.407168137,51.59969703
Emerson Park,London Overground,6,0.221721192,51.56818654
Romford,London Overground,6,0.184863954,51.57454494
Turkey Street,London Overground,6,-0.045735795,51.67186641
Upminster,London Overground,6,0.25221358,51.55850315
Hatch End,London Overground,6,-0.367177631,51.60890473
Romford,TfL Rail,6,0.184308898,51.57421472
Gidea Park,TfL Rail,6,0.2071101,51.58117713
Harold Wood,TfL Rail,6,0.234666819,51.59219909
Gravel Hill,Tramlink,6,-0.041304236,51.35401751
Addington Village,Tramlink,6,-0.031284121,51.35570988
New Addington,Tramlink,6,-0.015617483,51.34195708
King Henry's Drive,Tramlink,6,-0.018665196,51.3448509
Fieldway,Tramlink,6,-0.022640017,51.3504305
Chorleywood,London Underground,7,-0.516985176,51.65380677
Rickmansworth,London Underground,7,-0.472133393,51.63979883
Moor Park,London Underground,7,-0.430710233,51.6293749
Croxley,London Underground,7,-0.44019171,51.64658792
Watford,London Underground,7,-0.415832512,51.65699167
Theobalds Grove,London Overground,7,-0.033083485,51.69180047
Carpenders Park,London Overground,7,-0.384142381,51.62780024
Chalfont & Latimer,London Underground,8,-0.559159868,51.66754646
Cheshunt,London Overground,8,-0.022373213,51.70246665
Watford High Street,London Overground,8,-0.390612987,51.6519637
Watford Junction,London Overground,8,-0.394615064,51.6634936
Bushey,London Overground,8,-0.38369919,51.64433251
Chesham,London Underground,9,-0.609421076,51.70474175
Amersham,London Underground,9,-0.606146762,51.67366188
Clapton,London Overground,0,-0.055484597,51.56103029
Crystal Palace,London Overground,0,-0.071128264,51.41763277
Brentwood,TfL Rail,0,0.301589064,51.61307149
Shenfield,TfL Rail,0,0.331671253,51.6300009
Woodgrange Park,London Overground,0,0.045631091,51.54871611
Willesden Junction,London Overground,0,-0.242688895,51.5317515
